outcome,location_id,location_city_name,breeze_brand,total_vpd,lube_bays,repair_bays,lof_cpd,sscw_wpd,ecw_wpd,fcw_wpd,ibacw_wpd,crw_tnl_wpd,lat_sj,latitude_input_data_x,long_sj,longitude_input_data_x,number_miles_to_closest_oc_loc_sj,brand_sub_format,opportunity_name,opportunity_id,traffic,sitewise_batch,acq_stage,co_located_w_lube,co_located_w_car_wash,co_located_w_repair,nearest_streetlight_day_part_aadt_5_mi,x2024_estimate_5_mi,x2029_projection_5_mi,state_abb,city,street_number,city_state,zcta_code
acquire,c6zbeMGq9u4sUg4skc6ise,10 Minute Speed Oil Change Center - El Cerrito,OC,84,NA,NA,84,0,0,0,0,0,#N/A,37.903719100000004,#N/A,-122.3044367,NA,OC,Oil Changers 928-934 (10 Minute Speed - East Bay),XHGC4Rk9uz4GyYRy6V04td,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,8154,344061.589007976,347511.490189898,CA,El Cerrito,10175 San Pablo Ave,"El Segundo city, CA",94530
pass,CgqkU9NY9E4fMYIPzxr_J5,Costa Oil 10 Minute Oil Change (Fake) - Corporate,OC,18,NA,NA,18,NA,NA,NA,NA,0,#N/A,NA,#N/A,NA,NA,OC,Costa Oil 10 Minute OC - Hanover,oawzGis7Bt4vy9HSvC4pZc,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,NA,NA,NA,KS,NA,NA,NA,NA
acquire,ymGZ82cWIY4w293x6qc6Xf,10 Minute Speed Oil Change Center - Oakland - Hegenberger,OC,59,NA,NA,59,0,0,0,0,0,#N/A,37.7267181,#N/A,-122.2012418,NA,OC,Oil Changers 928-934 (10 Minute Speed - East Bay),XHGC4Rk9uz4GyYRy6V04td,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,14415,380588.100763765,380473.567680729,CA,Oakland,2 Hegenberger Rd,"Oakland city, CA",94621
acquire,1JQAbZZZcO43URokLzlL84,10 Minute Speed Oil Change Center - Oakland - Shattuck,OC,92,NA,NA,92,0,0,0,0,0,#N/A,37.8382249,#N/A,-122.2644361,NA,OC,Oil Changers 928-934 (10 Minute Speed - East Bay),XHGC4Rk9uz4GyYRy6V04td,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,7433,505577.247269373,513863.794537931,CA,Oakland,5225 Shattuck Ave. B,"Oakland city, CA",94609
acquire,FvUmiOb0NA4WA_6jnTlGV9,10 Minute Speed Oil Change Center - San Jose,OC,50,NA,NA,50,0,0,0,0,0,#N/A,37.273479,#N/A,-121.8699927,NA,OC,Oil Changers 928-934 (10 Minute Speed - East Bay),XHGC4Rk9uz4GyYRy6V04td,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,5110,596205.34567688,604474.240782208,CA,San Jose,3601 Pearl Ave,"San Pasqual CDP, CA",95136
acquire,29aATJ-U8L4mMpYBOVOG05,10 Minute Speed Oil Change Center - Santa Clara,OC,28,NA,NA,28,0,0,0,0,0,#N/A,37.3374469,#N/A,-121.9924979,NA,OC,Oil Changers 928-934 (10 Minute Speed - East Bay),XHGC4Rk9uz4GyYRy6V04td,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,7157,581480.986088266,598371.721316227,CA,Santa Clara,3478 Homestead Rd,"Santa Monica city, CA",95051
acquire,Y0SNiqNuzd4yyVy3MIVNEd,10 Minute Speed Oil Change Center - Sunnyvale,OC,29,NA,NA,29,0,0,0,0,0,#N/A,37.3742641,#N/A,-122.0583342,NA,OC,Oil Changers 928-934 (10 Minute Speed - East Bay),XHGC4Rk9uz4GyYRy6V04td,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,1506,404321.163987779,417776.687713334,CA,Sunnyvale,1240 W El Camino Real,"Sunnyvale city, CA",94087
acquire,_FtNuBizOw4TMbqau2Jqf9,10 Minute Speed Oil Change Center - Union City,OC,71,NA,NA,71,0,0,0,0,0,#N/A,37.5833847,#N/A,-122.023492,NA,OC,Oil Changers 928-934 (10 Minute Speed - East Bay),XHGC4Rk9uz4GyYRy6V04td,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,744,342779.736311636,351551.134537549,CA,Union City,2601 Decoto Rd,"Union City city, CA",94587
acquire,hTZIDn072S4J2CT4sYjMp9,AutoLube Express Oil Change - Elk Grove,OC,78,3,NA,78,0,0,0,0,0,38.4558963,38.4558963,-121.4074238,-121.4074238,NA,OC,Oil Changers 961-964 (TTL Auto - Sacramento),1d6HGjfFVj4SUC_8pBKl35,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,27989,373082.176788763,382933.66597076,CA,Elk Grove,8046 Orchard Loop Ln,"Elk Grove city, CA",95624
acquire,SM5_MKuZHv4mae3ar5LCM4,AutoLube Express Oil Change - Fair Oaks,OC,66,3,NA,66,0,0,0,0,0,38.6643696,38.6643696,-121.2617611,-121.2617611,NA,OC,Oil Changers 961-964 (TTL Auto - Sacramento),1d6HGjfFVj4SUC_8pBKl35,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,16607,294045.042050263,297631.186269882,CA,Fair Oaks,8101 Madison Ave,"Fair Oaks CDP, CA",95628
acquire,QHgX5BJbml49aDW6FeqMf1,AutoLube Express Oil Change - Lodi,OC,43,2,NA,43,0,0,0,0,0,38.1158052,38.1158052,-121.2774285,-121.2774285,NA,OC,Oil Changers 961-964 (TTL Auto - Sacramento),1d6HGjfFVj4SUC_8pBKl35,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,11805,85614.6261783079,90444.2339674988,CA,Lodi,301 W Kettleman Ln,"Lodi city, CA",95240
