SECTION LOCATION P1,LocationID,Location - City Name,Lube Name,State Abb,County ST,City,Street Number,"City, State",ZCTA Code,LAT SJ,LONG SJ,Missing SECTION LOCATION P1 GS,SECTION GEOGRAPHY P1,CBSA Name,State Code,SMP GS LKUP,US Region,US Division,Airport Southwest,Airport Distance,Airport Bin,HIDE Airport Southwest GS LKUP,# Miles to Closest OC Loc SJ,Missing SECTION GEOGRAPHY P1 GS,SECTION BUSINESS LINES P1,LOBs,Breeze Brand,Brand Sub Format,Missing SECTION BUSINESS LINES P1 GS,SECTION OPPORTUNITY P1,Opportunity Name,OpportunityID,Missing SECTION OPPORTUNITY P1 GS,SECTION PRICING DATA P1,Location Multiple GS,EBITDA from 4Wall GS LKUP,Bus. PP (MM),BPP KPI Type,Real Prop. PP (MM),REPP KPI Type,Deal Closed Yr,LOI Fully Executed GS,Closing Date,Days to Close,Missing SECTION PRICING DATA P1 GS,SECTION GATING PERFORMANCE P2,Traffic,TA,Days Open Annual,LOF CC Annual,LOF CPD,LOF CPD KPI Type,Sales,Sales KPI Type,4-Wall,4-Wall KPI Type,Missing SECTION GATING PERFORMANCE P2 GS,SECTION RUNWAY P1,2024 Opportunity,Probability,GS Weight EBITDA,Passed: Active Status,Missing SECTION RUNWAY P1 GS,SECTION METADATA P0,Updater,Creator,Created Timestamp,ChangeTimestamp,Missing SECTION METADATA P0 GS,SECTION TIDYING,Cleaner,Cleaning Pipeline,Cleaning Sprint Week,Cleaning Timetamp,Sitewise Batch
,-lnf7m8cA74gu-xedaCYT5,Cobblestone Auto Spa - Denver,Cobblestone Auto Spa - Leetsdale Dr,CO,Denver CO,Denver,6699 Leetsdale Dr,"Denver, CO",80224,39.7017278,-104.9106691,-1,,,,7,,,,missing,,,,8,,ECW,TWS,TWS,0,,Cobblestone Auto Spa - Phoenix,Wha3c_Y3I34pimc171dNk7,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,james.scerbo@oilchangers.com,james.scerbo@oilchangers.com,3/4/2025 16:51:10,3/24/2025 9:46:11,0,,,Gated,14,,Sitewise_Batch_01
,m8cYvySjzeBbhDr2dA2Zr4,Japanese Only - Carmichael,,CA,,Carmichael,7349 Fair Oaks Blvd,"Carmichael, CA",95608,#N/A,#N/A,1,,,,,,,,,,,,10,,"LOF , Repair",OC+R,OC & R,0,,Japanese Only - Carmichael,h9GhmIamWTVe2yc1WTEUB7,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,0%,,,3,,,james.scerbo@oilchangers.com,3/4/2025 17:08:32,3/4/2025 17:08:23,1,,,Not started,15,,Sitewise_Batch_01
,-EHSfF_hqw48YFQyV8tQs0,Spee-D-Lube - Crossett,Spee-D-Lube,AR,Ashley AR,Crossett,204 Oak St,"Crossett city, AR",71635,33.1334155,-91.9590108,-1,,[not in a CBSA],05,8,South,West South Central,,missing,,,,4,,,,,3,,Spee-D-Lube,A6LKWgvTz24Ve-q50NmwN5,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/5/2024 16:07:10,9/5/2024 16:07:10,1,,,In progress,16,,Sitewise_Batch_01
,-Px8Dv47rv4BiTtI0T4B98,J Lube - Gaylord,J lUbe - Gaylord,MI,Otsego MI,Gaylord,501 S Otsego Ave,"Gaylord city, MI",49735,45.0235565,-84.677361,-1,,[not in a CBSA],26,10,Midwest,East North Central,,missing,,,,4,,,,,3,,J Lube - Traverse City,CcH0zwsfVH4BQp-zqlDpC0,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/5/2024 16:15:07,9/5/2024 16:15:07,1,,,Ready for QA,14,,Sitewise_Batch_01
,-GpNH1usfJ4hmcaamCzGi3,MID-TN Express Lube - Murfreesboro,MID-TN Express Lube,TN,Rutherford TN,Murfreesboro,840 Middle Tennessee Blvd,"Murfreesboro city, TN",37129,35.8273787,-86.3960066,-1,,"Nashville-Davidson--Murfreesboro--Franklin, TN",47,9,South,East South Central,,missing,,,,4,,,,,3,,Mid-TN Express Lube - Murfreesboro,poi3rrrYCI4xiupPBxBBQa,0,,8.3,0.108,1.000,OC Guesstimate,,Not applicable,,,,,5,,,$80.00,308,"7,140",20,OC Guesstimate,$0.750,OC Guesstimate,$0.120,OC Guesstimate,1,,,0%,,,3,,,james.scerbo@oilchangers.com,9/5/2024 16:16:09,9/5/2024 16:16:09,1,,,Accepted,15,,Sitewise_Batch_01
,-CAfAMyUN04oMxtxPsN-g5,Speed lube - Vero Beach,Speed lube,FL,Indian River FL,Vero Beach,1205 Old Dixie Hwy,"Vero Beach city, FL",32960,27.6241663,-80.3949605,-1,,"Sebastian-Vero Beach, FL",12,3,South,South Atlantic,,missing,,,,4,,,OC,OC,1,,Speed Lube - Vero Beach,7wIDFZ1g3z4t60ciQJtCEf,0,,5.0,0.09,0.500,OC Guesstimate,0.500,OC Guesstimate,,,,,4,,,$70.00,308,"6,120",20,OC Guesstimate,$0.500,OC Guesstimate,$0.100,OC Guesstimate,1,,,,,,4,,,james.scerbo@oilchangers.com,9/5/2024 16:18:58,9/5/2024 16:18:58,1,,,[not applicable],16,,Sitewise_Batch_01
,-gMF8DIZzj4b6QncVfTLYb,speed lube center llc - West Palm Beach,speed lube center llc,FL,Escambia FL,West Palm Beach,1475 S Military Trail,"West Pensacola CDP, FL",33415,#N/A,#N/A,-1,,"Pensacola-Ferry Pass-Brent, FL",12,3,South,South Atlantic,,missing,,,,4,,,,,3,,Speed Lube Center - West Palm Beach,LYcP0yCCos4GuPoRghsnW1,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/5/2024 16:18:58,9/5/2024 16:18:58,1,,,,,,Sitewise_Batch_01
,-jcHXlkRBQ4tmq88ZIExO1,Touch of Class CW&L - Poway,Touch of Class CW&L,CA,San Diego CA,Poway,14713 Pomerado Rd,"Poway, CA",92064,#N/A,#N/A,-1,,"San Diego-Chula Vista-Carlsbad, CA",06,10,,,,missing,,,,6,,,OC+W,OC & WS,1,,Touch of Class CW&L - Poway,CtoX6PhN7V4Gi3SLqCdMu4,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/5/2024 16:19:42,9/5/2024 16:19:42,1,,,,,,Sitewise_Batch_01
,-xFGLmZ5GE4GMW16VTQzN4,Valvoline Express Care - Kennesaw,Valvoline Express Care,GA,Cobb GA,Kennesaw,2771 Cobb Pkwy N,"Kennesaw city, GA",30152,#N/A,#N/A,-1,,"Atlanta-Sandy Springs-Alpharetta, GA",13,5,South,South Atlantic,,missing,,,,4,,,,,3,,Valvoline Express Care - Affiliates,lyeB2BKril4MUaiv_nvtqf,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/5/2024 16:20:00,9/5/2024 16:20:00,1,,,,,,Sitewise_Batch_01
,-t1-ynJ1W94QaNTYKk9gG3,Valvoline Express Care - Branson West,Valvoline Express Care,MO,Taney MO,Branson West,17171 Business 13,"Branson city, MO",65737,#N/A,#N/A,-1,,"Branson, MO",29,10,Midwest,West North Central,,missing,,,,4,,,,,3,,Valvoline Express Care - Affiliates,lyeB2BKril4MUaiv_nvtqf,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/5/2024 16:20:06,9/5/2024 16:20:06,1,,,,,,Sitewise_Batch_01
,-Cq4eMbLq64Ei5OGEIVmM3,Valvoline Express Care - Detroit,Valvoline Express Care,MI,Monroe MI,Detroit,18915 Telegraph Rd,"Detroit Beach CDP, MI",48219,#N/A,#N/A,-1,,"Monroe, MI",26,10,Midwest,East North Central,,missing,,,,4,,,,,3,,Valvoline Express Care - Affiliates,lyeB2BKril4MUaiv_nvtqf,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/5/2024 16:20:06,9/5/2024 16:20:06,1,,,,,,Sitewise_Batch_01
,-SHp3WwMGJ4UetKPuvArR8,Valvoline Express Care - Tipp City,Valvoline Express Care,OH,Miami OH,Tipp City,1540 Harmony Dr,"Tipp City city, OH",45371,#N/A,#N/A,-1,,"Dayton-Kettering, OH",39,8,Midwest,East North Central,,missing,,,,4,,,,,3,,Valvoline Express Care - Affiliates,lyeB2BKril4MUaiv_nvtqf,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/5/2024 16:20:06,9/5/2024 16:20:06,1,,,,,,Sitewise_Batch_01
,-Yl81yvucz4SUDiTwynkN5,Kwik Kar Lube & Tune - Lamesa,Kwik Kar Lube & Tune,TX,Dawson TX,Lamesa,411 N 4th St,"Lamesa city, TX",79331,32.7358346,-101.9535766,-1,,"Lamesa, TX",48,10,South,West South Central,,missing,,,,4,,LOF,OC,OC,0,,Kwik Kar Lube & Tune - Affiliates,0hrnoH8fVs4ZUlaAvP8Jqf,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/5/2024 16:34:21,9/5/2024 16:34:21,1,,,,,,Sitewise_Batch_01
,-fBGJtMX194W662mn2OTqd,Kwik Kar Lube & Tune - Houston,Kwik Kar Lube & Tune,TX,Fort Bend TX,Houston,9623 Jones Rd,"Houston city, TX",77065,29.9144673,-95.5851335,-1,,"Houston-The Woodlands-Sugar Land, TX",48,10,South,West South Central,,missing,,,,4,,"LOF , Repair , INS - State",OC+R,OC & R,0,,Slater's Kwik Kar - Houston,mavpW2XFRe4FIbxi-AguRa,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/5/2024 16:34:29,9/5/2024 16:34:29,1,,,,,,Sitewise_Batch_01
,-oXALuCuKK4xIZYJt-E5c7,Kwik Kar Lube & Tune - Plano,Kwik Kar Lube & Tune,TX,Collin TX,Plano,6916 Independence Pkwy #1405,"Plano city, TX",75023,33.070896,-96.7497129,-1,,"Dallas-Fort Worth-Arlington, TX",48,10,South,West South Central,,missing,,,,4,,"LOF , Repair , INS - State",OC+R,OC & R,0,,Kwik Kar Lube & Tune - Affiliates,0hrnoH8fVs4ZUlaAvP8Jqf,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/5/2024 16:34:44,9/5/2024 16:34:44,1,,,,,,Sitewise_Batch_01
,-B0ZaB8jmz4AQ53tVnAiHa,Pioneer Quick Lube - Marquette 25 - Marquette,Pioneer Quick Lube - Marquette 25,MI,Marquette MI,Marquette,1551 W Washington St,"Marquette city, MI",49855,46.5455603,-87.425668,-1,,"Marquette, MI",26,10,Midwest,East North Central,,missing,,,,4,,LOF,OC,OC,0,,Pioneer Quick Lubes - Sanford,0GzN2bkleW4D2rNjCxRZH5,0,,5.0,0.09,0.500,OC Guesstimate,0.500,OC Guesstimate,,,,,4,,,$70.00,308,"6,120",20,OC Guesstimate,$0.500,OC Guesstimate,$0.100,OC Guesstimate,1,,,,,,4,,,james.scerbo@oilchangers.com,9/5/2024 16:34:59,9/5/2024 16:34:59,1,,,,,,Sitewise_Batch_01
,-QhbUXMPrd4YqF5QIUBUo1,Pioneer Quick Lube Midland 09 - Midland,Pioneer Quick Lube Midland 09,MI,Bay MI,Midland,2112 N Saginaw Rd,"Midland city, MI",48640,43.6416021,-84.2528411,-1,,"Bay City, MI",26,10,Midwest,East North Central,,missing,,,,4,,LOF,OC,OC,0,,Pioneer Quick Lubes - Sanford,0GzN2bkleW4D2rNjCxRZH5,0,,5.0,0.09,0.500,OC Guesstimate,0.500,OC Guesstimate,,,,,4,,,$70.00,308,"6,120",20,OC Guesstimate,$0.500,OC Guesstimate,$0.100,OC Guesstimate,1,,,,,,4,,,james.scerbo@oilchangers.com,9/5/2024 16:34:59,9/5/2024 16:34:59,1,,,,,,Sitewise_Batch_01
,-bNIIzKh934mUHgxSRLjl1,Benzie Express Lube & Tire Service - Benzonia,Benzie Express Lube & Tire Service,MI,Benzie MI,Benzonia,2840 Benzie Hwy,"Benzonia village, MI",49616,44.5905621,-86.0997477,-1,,"Traverse City, MI",26,10,Midwest,East North Central,,missing,,,,4,,"LOF , Tire",OC,OC,0,,Benzie Xpress Lube & Tire - Benzonia,oxctUWMBn1426AWvawoO41,0,,,0,,,,,,,,,9,,,,,,,,,,,,10,,,,,,4,,,james.scerbo@oilchangers.com,9/5/2024 16:34:59,9/5/2024 16:34:59,1,,,,,,Sitewise_Batch_01
