cohort.x,_name_NA,_latitude_NA.x,_longitude_NA.x,_location_city_name_input_data,_street_number_input_data,_city_state_input_data.x,_zcta_code_input_data.x,_latitude_input_data.x,_longitude_input_data.x,_nearest_chainxy_vt_vec_distance_5_mi,_nearest_chainxy_vt_vec_driving_distance_5_mi,_nearest_chainxy_vt_vec_driving_time_5_mi,_nearest_chainxy_vt_vec_chain_name_5_mi,_nearest_chainxy_vt_vec_storefront_5_mi,_nearest_chainxy_vt_vec_address_5_mi,_nearest_chainxy_vt_vec_city_5_mi,_nearest_chainxy_vt_vec_state_5_mi,_nearest_chainxy_vt_vec_latitude_5_mi,_nearest_chainxy_vt_vec_longitude_5_mi,_nearest_chainxy_vt_vioc_distance_5_mi,_nearest_chainxy_vt_vioc_driving_distance_5_mi,_nearest_chainxy_vt_vioc_driving_time_5_mi,_nearest_chainxy_vt_vioc_chain_name_5_mi,_nearest_chainxy_vt_vioc_storefront_5_mi,_nearest_chainxy_vt_vioc_address_5_mi,_nearest_chainxy_vt_vioc_city_5_mi,_nearest_chainxy_vt_vioc_state_5_mi,_nearest_chainxy_vt_vioc_latitude_5_mi,_nearest_chainxy_vt_vioc_longitude_5_mi,cohort.y,_latitude_NA.y,_longitude_NA.y,_city_state_input_data.y,_zcta_code_input_data.y,_latitude_input_data.y,_longitude_input_data.y,_nearest_chainxy_vt_costco_distance_5_mi,_nearest_chainxy_vt_costco_driving_distance_5_mi,_nearest_chainxy_vt_costco_driving_time_5_mi,_nearest_chainxy_vt_costco_chain_name_5_mi,_nearest_chainxy_vt_costco_storefront_5_mi,_nearest_chainxy_vt_costco_address_5_mi,_nearest_chainxy_vt_costco_city_5_mi,_nearest_chainxy_vt_costco_latitude_5_mi,_nearest_chainxy_vt_costco_longitude_5_mi,_nearest_chainxy_vt_costco_store_type_5_mi,_nearest_chainxy_vt_costco_parent_chain_name_5_mi,_nearest_chainxy_vt_walmart_distance_5_mi,_nearest_chainxy_vt_walmart_driving_distance_5_mi,_nearest_chainxy_vt_walmart_driving_time_5_mi,_nearest_chainxy_vt_walmart_chain_name_5_mi,_nearest_chainxy_vt_walmart_storefront_5_mi,_nearest_chainxy_vt_walmart_address_5_mi,_nearest_chainxy_vt_walmart_city_5_mi,_nearest_chainxy_vt_walmart_latitude_5_mi,_nearest_chainxy_vt_walmart_longitude_5_mi,_nearest_chainxy_vt_walmart_store_type_5_mi,_nearest_chainxy_vt_walmart_parent_chain_name_5_mi,_nearest_streetlight_day_part_road_name_5_mi,_nearest_streetlight_day_part_aadt_5_mi,_2nd_nearest_streetlight_day_part_road_name_5_mi,_2nd_nearest_streetlight_day_part_aadt_5_mi,_3rd_nearest_streetlight_day_part_road_name_5_mi,_3rd_nearest_streetlight_day_part_aadt_5_mi,_4th_nearest_streetlight_day_part_road_name_5_mi,_4th_nearest_streetlight_day_part_aadt_5_mi,_5th_nearest_streetlight_day_part_road_name_5_mi,_5th_nearest_streetlight_day_part_aadt_5_mi,_2024_estimate_5_mi,_2029_projection_5_mi
1,ASAP Oil & Lube Center - Rosharon,29.4963455,-95.4413873,ASAP Oil & Lube Center - Rosharon,6111 Jan Dr,"Rosharon, TX",77583,29.4963455,-95.4413873,0.00296832336690049,NA,NA,Express Care,Express Care Rosharon,6111 Jan Dr,Rosharon,TX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,29.4963455,-95.4413873,"Rosharon, TX",77583,29.4963455,-95.4413873,NA,6.35579034831692,9.54073431842454,Costco Wholesale,Pearland,3500 Business Center Drive,Pearland,NA,NA,Warehouse,NA,4.42753452494601,5.65783245740549,10.0856069178068,Walmart USA,Pearland Neighborhood Market,12631 Broadway Street,Pearland,NA,NA,Neighborhood Market,NA,primary_link,15410,Alvin-Sugarland Road,16876,Alvin-Sugarland Road,14983,Alvin-Sugarland Road,15248,Alvin-Sugarland Road,15963,139376.515627905,169559.194588333
1,Autofix - Merrillville,41.4716109,-87.3630818,Autofix - Merrillville,2080 81st Ave,"Merrillville town, IN",46410,41.4716109,-87.3630818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.44309091214371,2.55216650028517,4.28556958770063,Valvoline Instant Oil Change,Crown Point,1498 1/2 N Main St,Crown Point,IN,NA,NA,1,41.4716109,-87.3630818,"Merrillville town, IN",46410,41.4716109,-87.3630818,NA,3.05188618706702,8.42142292408176,Costco Wholesale,Merrillville,1310 E 79th Ave,Merrillville,NA,NA,Warehouse,NA,3.23758330757664,3.4850629391840098,8.72003005587207,Walmart USA,Merrillville Supercenter,2936 E 79th Ave,Merrillville,NA,NA,Supercenter,NA,West 81st Avenue,22855,West 81st Avenue,22919,Taft Street,7345,Taft Street,10088,Taft Street,8569,115752.414375284,117351.244423846
1,AutoFix - Palatine,42.1418079,-88.0241353,AutoFix - Palatine,1747 N Rand Rd,"Palatine, IL",60074,42.1418079,-88.0241353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,42.1418079,-88.0241353,"Palatine, IL",60074,42.1418079,-88.0241353,NA,4.90225508972866,9.21464646917843,Costco Wholesale,Lake Zurich,680 S Rand Rd,Lake Zurich,NA,NA,Warehouse,NA,0.436575580820518,0.586003634176988,2.08051054432269,Walmart USA,Palatine Store,1555 N Rand Rd,Palatine,NA,NA,Store,NA,Rand Road,12195,Rand Road,12293,Rand Road,12532,Rand Road,11854,Rand Road,12718,248900.953401876,247373.987790148
1,Autofix - Westmont,41.77305,-87.9731213,Autofix - Westmont,27 E 63rd St,Westmont IL,60559,41.77305,-87.9731213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.51438311374154,5.39693769477488,9.88131684069937,Valvoline Instant Oil Change,La Grange,5501 Willow Springs Road,La Grange Highlands,IL,NA,NA,1,41.77305,-87.9731213,Westmont IL,60559,41.77305,-87.9731213,NA,5.59537860138495,11.3989144227758,Costco Wholesale,Bolingbrook,830 E Boughton Rd,Bolingbrook,NA,NA,Warehouse,NA,2.1814626891672,3.05014432460618,6.97760077666,Walmart USA,Darien Supercenter,2189 75th St,Darien,NA,NA,Supercenter,NA,East 63rd Street,9489,South Cass Avenue,8232,South Cass Avenue,7215,West 63rd Street,9685,South Cass Avenue,7235,232258.320902042,233008.925236913
1,BC Kwik Lube and Service - Lumberton,30.2536183,-94.1982571,BC Kwik Lube and Service - Lumberton,204 S Main St,"Lumberton city, TX",77657,30.2536183,-94.1982571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,30.2536183,-94.1982571,"Lumberton city, TX",77657,30.2536183,-94.1982571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15892127761558,1.56340245112765,4.58915427372663,Walmart USA,Lumberton Supercenter,100 No. Lhs Drive,Lumberton,NA,NA,Supercenter,NA,South Main Street,13147,South Main Street,13186,South Main Street,13677,North Main Street,12119,North Main Street,12705,24591.2389395861,25277.7217678165
1,Brookshire Oil Change Center - Brookshire,29.7859789,-95.9459043,Brookshire Oil Change Center - Brookshire,3411 S Front St,"Brookshire city, TX",77423,29.7859789,-95.9459043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,29.7859789,-95.9459043,"Brookshire city, TX",77423,29.7859789,-95.9459043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Highway Boulevard,2788,Depot Street,101,Highway Boulevard,2791,Highway Boulevard,2781,Highway Boulevard,2813,29160.940018893,36719.9118349309
1,Burkburnett Quick Lube - Burkburnett,34.0863258,-98.5674678,Burkburnett Quick Lube - Burkburnett,519 Sheppard Rd,"Burkburnett, TX",76354,34.0863258,-98.5674678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,34.0863258,-98.5674678,"Burkburnett, TX",76354,34.0863258,-98.5674678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sheppard Road,2063,Sheppard Road,2288,Tidal Street,249,Tidal Street,218,Tidal Street,249,11792.5414916271,11955.4867722112
1,Burleson Wash and Lube - Burleson,32.5367383,-97.3329534,Burleson Wash and Lube - Burleson,537 SW Wilshire Blvd,"Burleson city, TX",76028,32.5367383,-97.3329534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48658028955467,1.80737203135144,5.06415289075809,Valvoline Instant Oil Change,Wilshire Blvd,1482 SW Wilshire Blvd,Burleson,TX,NA,NA,1,32.5367383,-97.3329534,"Burleson city, TX",76028,32.5367383,-97.3329534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.752268639113213,0.987206599026409,3.24159626924836,Walmart USA,Burleson Supercenter,951 SW Wilshire Blvd,Burleson,NA,NA,Supercenter,NA,Southwest Johnson Avenue,2646,Southwest Wilshire Boulevard,25067,Southwest Wilshire Boulevard,22809,Southwest Wilshire Boulevard,22396,Southwest Wilshire Boulevard,22750,116788.422857419,130757.15969701
1,Carnation Auto Spa - Carrollton,33.0200008,-96.9283762,Carnation Auto Spa - Carrollton,1401 W Hebron Pkwy #6325,"Carrollton city, TX",75010,33.0200008,-96.9283762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.50354877078616,2.74861485870549,5.42965416844067,Valvoline Instant Oil Change,Josey Lane,4109 N Josey Lane,Carrollton,TX,NA,NA,1,33.0200008,-96.9283762,"Carrollton city, TX",75010,33.0200008,-96.9283762,3.64316312752611,2.83774865686333,4.7865456089219,Costco Wholesale,Lewisville,851 State Highway 121 Byp,Lewisville,NA,NA,Warehouse,NA,0.728214589335693,1.0084675489009,3.0164422133851,Walmart USA,Carrollton Neighborhood Market,4025 Old Denton Rd,Carrollton,NA,NA,Neighborhood Market,NA,West Hebron Parkway,15316,West Hebron Parkway,15153,Huffines Boulevard,1546,West Hebron Parkway,14551,West Hebron Parkway,15274,262870.015902411,259139.981874902
1,Castroville Quick Lube - Castroville,29.3542998,-98.8776661,Castroville Quick Lube - Castroville,602 US-90,"Castroville city, TX",78009,29.3542998,-98.8776661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,29.3542998,-98.8776661,"Castroville city, TX",78009,29.3542998,-98.8776661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19062885064869,1.31025198735606,3.64363633757146,Walmart USA,Castroville Supercenter,1151 US Hwy 90 E,Castroville,NA,NA,Supercenter,NA,US Highway 90 West,13603,US Highway 90 West,13809,US Highway 90 West,13755,US Highway 90 West,13542,US Highway 90 West,13046,9233.21223103121,9707.54274513421
