LOCATIONS DETAIL ROW ID,SECTION LOCATION P1,Location - City Name UNLINKED,Location ID,SECTION OPPORTUNITY P1,Opportunity Name,Opportunity Name ID,Missing SECTION OPPORTUNITY P1 GS,SECTION VOP P0,Primary LOB GS LKUP,Chasing Intensity GS LKUP,Acq Stage GS LKUP,Deal Bin GS LKUP,Missin SECTION VOP P0 GS,SECTION LOB KPI P3,SSCW WPD,ECW WPD,FCW WPD,IBACW WPD,CRW TNL WPD GS LKUP,CRW WPD KPI Type,Missing SECTION LOB KPI P3 GS,SECTION MISSING COUNT P0,Missing P1 Count GS,Missing P2 Count GS,Missing P3 Count GS,Missing P0 Count GS,Missing SECTION MISSING COUNT P0 GS,SECTION LUBE STORE  ATTRIBUTES P3,Trade Neighbor Area,Operating Days,Operating Hours Weekly,Location Phone,Website URL,Lube Bays,Repair Bays,Repair Lifts,SECTION COLS SEEMS REDUNDANT,Co-located w/ Lube,Co-located w/ Car Wash,Co-located w/ repair,SECTION WASH STORE ATTRIBUTES P3,WASH STORE ATTRIBUTES ROW ID,Wash Style,Tunnel Type,Approx. Tunnel Length (ft),Tunnel Count,IBA Count,SS/DIY Bay Count,XPT,XPT Count,Gate Systems,Gate System Count,Vacuums (self serve),Vacuum Count,Vending,Missing SECTION WASH STORE ATTRIBUTES P3 GS,SECTION METADATA P0,Updater,Creator,Created Timestamp,ChangeTimestamp,Missing SECTION METADATA P0 GS,LINK2.0 ROW ID,LNK2.0 - Groomed Status,LINK2.0 BadName TMP,LINK2.0 - WasMessedUp,LINK2.0 - Uncategorized,LINK2.0 - Sprint plan,LINK2.0 - Sprint actual,LNK2.0 Sprint Complete,Team Validate,SECTION LINK2.0 P3,SECTION TO BE REMOVED,TO BE REMOVED ROW ID,Opportunity Tags GS XLKP,Location Tags,Overlapping Oppo
T4F5A1C7M2K8U8L1,,1 Stop Auto Shop - Springfield,JLSxvac5vU44UXhYHDdI41,,1 Stop Auto Shop - Springfield,YxcJ41SxI44BqIe2UVaW-1,0,,07 Auto Repair,,04 Qualified Opportunity,03 Bolt-On (3-6),0,,,,,,0,Not Applicable,5,,,,,,,,,,,,,2,,,,,,,,R0K3P9A3Q7Z2M5L9,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,9/25/2024 17:58:10,9/25/2024 17:58:10,1,I6W5P5P9B6L4G8Z4,Groomed & Linked,,,,,,,,,,U7J8W5W0G6N4T8P7,missing,,
M0I8N7Q8W6N0U8Q7,,1 Stop Auto Shop - Bloomington,k-5x6b2tCo4eu6n3s3_G06,,1 Stop Auto Shop - Springfield,YxcJ41SxI44BqIe2UVaW-1,0,,07 Auto Repair,,04 Qualified Opportunity,03 Bolt-On (3-6),0,,,,,,0,Not Applicable,5,,,,,,,,,,,,,0,5,5,,,,,,T9V5R5C0Z8X5U1B8,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,10/25/2024 19:52:34,10/25/2024 19:52:34,1,Q3W8Z8H2Q2G6C6N7,Groomed & Linked,,,,,,,,,,O4N9R8B4W6A4M4V4,missing,,
T7R7V6K4O1B3C3Q7,,1 Stop Auto Shop - Chatham,54n7Fp-QDA4lMKjFOAkOga,,1 Stop Auto Shop - Springfield,YxcJ41SxI44BqIe2UVaW-1,0,,07 Auto Repair,,04 Qualified Opportunity,03 Bolt-On (3-6),0,,,,,,0,Not Applicable,5,,,,,,,,,,,,,0,3,3,,,,,,S4O6T9G1S8L8J6X5,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,10/25/2024 19:52:34,10/25/2024 19:52:34,1,A3J2M2G0W3S2A2E4,Groomed & Linked,,,,,,,,,,R3Q2F3Y6A7Y8H8G4,missing,,
H7P1Q2F5P8Q4P5F8,,1 Stop Auto Shop - Sherman,vwarp-pTfv4xQ6_HGsq5R3,,1 Stop Auto Shop - Springfield,YxcJ41SxI44BqIe2UVaW-1,0,,07 Auto Repair,,04 Qualified Opportunity,03 Bolt-On (3-6),0,,,,,,0,Not Applicable,5,,,,,,,,,,,,,0,8,8,,,,,,G7B9F0P0O5B8L2Z1,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,10/25/2024 19:52:34,10/25/2024 19:52:34,1,V0H7F7N5U1X2H1J5,Groomed & Linked,,,,,,,,,,T5L9U3Y6L3G5T7B5,missing,,
S1V3D7G0Z7P9H2R3,,10 Min. Oil Change - Hollywood,0S-8tSfj0u4x6c-QztQD07,,10 Min. Oil Change,3gd754FRUh45iaf7kbWIQd,0,,01 Quick Lube,,01.1 Lead Low SMP,05 Single (1),0,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,K0G9Z7D1H9X3P4R3,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,9/12/2024 20:54:48,9/12/2024 20:54:48,1,U2A8B8K7W2F5D9D4,Ungroomed,Y,,,,,,,,,R0H6M5D4G2L1W1J9,missing,,
A6O2H3N4K2C2P8V8,,10 Minute Express Lube - Pulaski,sNsT9HC1MK4zyHpBB2xjZ8,,10 Minute Express Lube - Pulaski,B1K6P6Vuz44wYDrcGXpzh3,0,,01 Quick Lube,,01.3 Lead High SMP,05 Single (1),0,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,U8U5G9D0H7Y1S9L8,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,9/12/2024 20:54:48,9/12/2024 20:54:48,1,X4F4X1Z1X9T6W9M6,Groomed & Linked,,Y,N,,12/26/2024,,,,,Q3D4B1G3P2U9X0T7,missing,,
E6T4K0K8N0C3U5Y6,,Yuba City QL - Yuba City,YoxKPlb7ZR4laFR4pVlwhb,,10 Minute Lube'N Oil & CW - Yuba City,GXhkvj19F94CqavDbDWxH5,0,,missing,,missing,missing,0,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,O5D7T5B5D1H7L7Z0,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,3/4/2025 10:08:54,9/12/2024 20:54:48,1,F0M8M7A7R2K3I9Y5,Groomed & Linked,,,,,,,,,,H4D3T2B9B1R1W5T0,missing,,
N7U7Q3W8A6Z9X6U3,,10 Minute Oil & General Mechanic - Los Angeles,4nxclTuhS640Muq7JUwHOb,,10 Minute Oil & General Mechanic - Los Angeles,VTHcPZuiV54SURKgQD9BY3,0,,01 Quick Lube,,01.4 Lead Very High SMP,05 Single (1),0,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,F2O5J0O6G3D9D7W2,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,9/12/2024 20:54:48,9/12/2024 20:54:48,1,O7H4K5H0L6M9F6L8,Groomed & Linked,,,,,,,,,,U9K2X0G5G5H1H6A6,missing,,
Y3K1R7L3X2R1K2F0,,10 Minute Oil Change - Dallas - Plano,mEbZS3PLajyABtIuHflAEQ,,10 Minute Oil Change - DFW,iHRvW08__x4qyVlz6zNYle,0,,,,,,2,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,B2X1D8D6B1G4G7A0,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,1/30/2025 12:03:17,1/30/2025 12:03:03,1,H1D1K7S8V4M7Y2Y0,,,,,,,,,,,G7K6N4G7Q4Q4Y6L8,,,
F5Z9Q0U4N3Q7P7D7,,10 Minute Oil Change - Dallas - Garland,jhrvTEU3YiPizEd5BIvbNU,,10 Minute Oil Change - DFW,iHRvW08__x4qyVlz6zNYle,0,,,,,,2,,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,X8N8C8A9P9S4F1W3,,,,,,,,,,,,,,13,,,james.scerbo@oilchangers.com,1/30/2025 12:06:39,1/30/2025 12:06:28,1,B5F4H7Y4N6O2A8F3,,,,,,,,,,,O4D4D2E5T7H2S0O5,,,
