SECTION OPPORTUNITY,OpportunityID,Opportunity Name,Tags,SECTION BISSHP,Primary LOB Type ATRB,Chase Intensity ATRB,Acq Stage ATRB,Sprint Year,Sprint Week,True Handle,True POC,Bird,SECTION VOP,First V2V GS,First F2F GS,Sprint Week Code,VOP Stage GS,Trivest Sprint Week,SECTION TIDYING,Cleaner ATRB,Cleaning Pipeline ATRB,Cleaning Sprint Week,Cleaning Sprint Year,Record Domain ATRB,Mode ATRB,Kid Status ATRB,Cleaning Timestamp,SECTION DEAL GATING,Pipeline Tier,Addresable Market Type,Deal Bin ATRB,Species ATRB,SECTION RELATIONSHIPS,BD Lead ATRB,Corp Dev Lead ATRB,Sourced ATRB,Tracing Lead ATRB,Relationship Strength ATRB,Relate Mgr ATRB,Report Lead ATRB,Knows ATRB,SECTION WEEKLY UPDATE,Last Update,Days Since Last Update GS,Update,Next Action,Website,SECTION RUNWAY,Locations GS LKUP,LOF CPD GS LKUP,Multiple on Sales GS,Multiple on EBITDA GS,CRW TNL WPD GS LKUP,Revenue (MM) GS LKUP,EBITDA REPORTED GS LKUP,EBITDA ADJUSTED GS LKUP,EBITDA THIRDMETRIC GS LKUP,EBITDA POST COGS GS LKUP,EBITDA POST OTHER GS LKUP,4-Wall GS LKUP,Bus PP (MM) GS LKUP,Real Prop PP (MM) GS LKUP,Projected Close,Prob EOM Closing,Prob Close NTM,Prob LOI NTM,SECTION GEOGRAPHY,Market,City,State ATRB,SMP Mode GS LKUP,SMP Mode Singles,SMP Mode Doubles,SMP Mode ThreePlus,SECTION OPPORTUNITIES CYLES,NDA Sent,NDA Fully Executed,Days to NDA,LOI Sent,LOI Fully Executed,Days to LOI,Closing Date Actual,Days to Close,SECTION LINKING PROJECT 3.0,L3.0 Priority,L3.0 Sprint Code,L3.0 Sprint Year,L3.0 Sprint Week,L3.0 User,L3.0 ChangeTimestamp,L3.0 Status,SECTION TRACING,Skip Tracer,Skip Trace Status,Handles Historical Touches GS,Handles Future Touches GS,People Historical Touches GS,People Future Touches GS,Conversations Count GS,True POC Count GS,False POC Count GS,SECTION METADATA,ChangeCounter,Creator,Updater,ChangeTimestamp,Created Timestamp,SECTION LINKING PROJECT 2.0,LINK2.0 Count TMP,LINK2.0 Priority TMP,LINK2.0 Date Done TMP,LINK2.0 Dupes TMP,LINK2.0 Bad Name TMP,SECTION QUALIFYING KPI,Signed NDA (KPI),Statistics Report (KPI),Built POS Model (KPI),Built Val Model (KPI),Tear Sheet (KPI),Term Sheet (KPI),LOI Sent (KPI),LOI Executed (KPI),Deal Closed (KPI),SECTION COLS TBR,RE Owned TBL,Car Wash TBL,Affiliate / Franchise TBL,SECTION PASS LIST,Passed Deal Flag PSS,Passed Easier Win PSS,Passed Pass Reason PSS,Passed Primary Reason PSS,Passed Reasons PSS,Pass Date,SECTION QUALIFYING,Go/Kill ESP,Qualifying Stage ESP,Percentage Completion ESP,ESP Status,ESP Info and Increments,ESP Vintage,ESP Seller Expect,ESP Cash Class,ESP Invest Rec,ESP Deal Priority,SECTION BLANK COLS,Stage Within A Stage ATRB,Blank Date,Blank Datetime,Blank Useremail,Blank Text 02,Blank Number 01,Blank Decimal 01,Blank Dropdown 02
,us9XomXCDh4suP8CvFKs-b,Attention to Clerical,,,01 Quick Lube,01 Run,Backlogs,2018,1,No,No,No,,,,18-S-01,01 QUICK LUBE | 01 RUN | BACKLOGS,1,,[not applicable],[not applicable],99,9999,Focus,[not applicable],[not applicable],,,,,[undefined],[undefined],,,,,,,No Relationship,Not applicable,,,1/1/2018,2662,,,,,0,0,,,$0.00,$0.00,,,,,,$0.00,$0.00,$0.00,,,,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,NA,0,NA,0,0,,,,,,10/3/2024 18:52:33,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S1lzvQ5Oll4OIE4FPVfGv1,Attention to Email,,,01 Quick Lube,01 Run,Backlogs,2018,1,No,No,No,,,,18-S-01,01 QUICK LUBE | 01 RUN | BACKLOGS,1,,[not applicable],[not applicable],99,9999,Focus,[not applicable],[not applicable],,,,,[undefined],[undefined],,,,,,,No Relationship,Not applicable,,,1/1/2018,2662,,,,,0,0,,,$0.00,$0.00,,,,,,$0.00,$0.00,$0.00,,,,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,NA,0,NA,0,0,,,,,,10/3/2024 18:52:33,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lv5D6Nt46Q4VQhJ5cxMxCa,Attention to Expenses,,,01 Quick Lube,01 Run,Backlogs,2018,1,No,No,No,,,,18-S-01,01 QUICK LUBE | 01 RUN | BACKLOGS,1,,[not applicable],[not applicable],99,9999,Focus,[not applicable],[not applicable],,,,,[undefined],[undefined],,,,,,,No Relationship,Not applicable,,,1/1/2018,2662,,,,,0,0,,,$0.00,$0.00,,,,,,$0.00,$0.00,$0.00,,,,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,NA,0,NA,0,0,,,,,,10/3/2024 18:52:33,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,G3e4MQX0X34taeVtoVSGi8,Attention to GTD Weekly Review,,,01 Quick Lube,01 Run,Backlogs,2018,1,No,No,No,,,,18-S-01,01 QUICK LUBE | 01 RUN | BACKLOGS,1,,[not applicable],[not applicable],99,9999,Focus,[not applicable],[not applicable],,,,,[undefined],[undefined],,,,,,,No Relationship,Not applicable,,,1/1/2018,2662,,,,,0,0,,,$0.00,$0.00,,,,,,$0.00,$0.00,$0.00,,,,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,NA,0,NA,0,0,,,,,,10/3/2024 18:52:33,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VZ6ipNcPiI4vMq-MJ1t7s1,Attention to Invoices,,,01 Quick Lube,01 Run,Backlogs,2018,1,No,No,No,,,,18-S-01,01 QUICK LUBE | 01 RUN | BACKLOGS,1,,[not applicable],[not applicable],99,9999,Focus,[not applicable],[not applicable],,,,,[undefined],[undefined],,,,,,,No Relationship,Not applicable,,,1/1/2018,2662,,,,,0,0,,,$0.00,$0.00,,,,,,$0.00,$0.00,$0.00,,,,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,NA,0,NA,0,0,,,,,,10/3/2024 18:52:33,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_t3FrQh-8G4KuTwT_nrqy1,Attention to Meetings,,,01 Quick Lube,01 Run,Backlogs,2018,1,No,No,No,,,,18-S-01,01 QUICK LUBE | 01 RUN | BACKLOGS,1,,[not applicable],[not applicable],99,9999,Focus,[not applicable],[not applicable],,,,,[undefined],[undefined],,,,,,,No Relationship,Not applicable,,,1/1/2018,2662,,,,,0,0,,,$0.00,$0.00,,,,,,$0.00,$0.00,$0.00,,,,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,NA,0,NA,0,0,,,,,,10/3/2024 18:52:33,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,is4wbMgmcs4lAXfo1yeghc,Attention to Travel,,,01 Quick Lube,01 Run,Backlogs,2018,1,No,No,No,,,,18-S-01,01 QUICK LUBE | 01 RUN | BACKLOGS,1,,[not applicable],[not applicable],99,9999,Focus,[not applicable],[not applicable],,,,,[undefined],[undefined],,,,,,,No Relationship,Not applicable,,,1/1/2018,2662,,,,,0,0,,,$0.00,$0.00,,,,,,$0.00,$0.00,$0.00,,,,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,NA,0,NA,0,0,,,,,,10/3/2024 18:52:33,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EsiGoCO2Hd4Y2nyn6u4mte,Board Slides,,,01 Quick Lube,01 Run,Backlogs,2018,1,No,No,No,,,,18-S-01,01 QUICK LUBE | 01 RUN | BACKLOGS,1,,[not applicable],[not applicable],99,9999,Focus,[not applicable],[not applicable],,,,,[undefined],[undefined],,,,,,,No Relationship,Not applicable,,,1/1/2018,2662,,,,,0,0,,,$0.00,$0.00,,,,,,$0.00,$0.00,$0.00,,,,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,NA,0,NA,0,0,,,,,,10/3/2024 18:52:33,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bLQVQ7QyvT4IMvuLfCwT8e,Breeze Fleet,,,01 Quick Lube,01 Run,Backlogs,2018,1,No,No,No,,,,18-S-01,01 QUICK LUBE | 01 RUN | BACKLOGS,1,,[not applicable],[not applicable],99,9999,Focus,[not applicable],[not applicable],,,,,[undefined],[undefined],,,,,,,No Relationship,Not applicable,,,1/1/2018,2662,,,,,0,0,,,$0.00,$0.00,,,,,,$0.00,$0.00,$0.00,,,,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,NA,0,NA,0,0,,,,,,10/3/2024 18:52:33,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UqY8mAgdJMPbVqMlhCub6U,Breeze M&A Pipeline Report,,,01 Quick Lube,01 Run,Backlogs,2018,1,No,No,No,,,,18-S-01,01 QUICK LUBE | 01 RUN | BACKLOGS,1,,[not applicable],[not applicable],99,9999,Focus,[not applicable],[not applicable],,,,,[undefined],[undefined],,,,,,,No Relationship,Not applicable,,,1/1/2018,2662,,,,,0,0,,,$0.00,$0.00,,,,,,$0.00,$0.00,$0.00,,,,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,NA,0,NA,0,0,,,,,8/9/2024 6:50:40,10/3/2024 18:52:33,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,
